1	1.6461	1.6059	19861.1291	87.8233	1.1572	0.8620	
1.5	0.8998	0.9159	252963.3340	11.9670	0.6599	0.4916	
2	0.5210	0.5264	103704.7713	5.9950	0.3793	0.2825	
2.5	0.3673	0.3713	374.8048	3.5235	0.2675	0.1993	
4.5	0.2015	0.2036	12.2299	0.8954	0.1467	0.1093	
5	0.1801	0.1820	8.3764	0.7355	0.1312	0.0977	
5.5	0.1632	0.1645	6.0915	0.6166	0.1185	0.0883	
6	0.1488	0.1498	4.4393	0.5235	0.1080	0.0804	
6.5	0.1393	0.1404	3.5294	0.4607	0.1012	0.0754	
7	0.1284	0.1295	2.8023	0.4018	0.0933	0.0695	
7.5	0.1218	0.1226	2.3034	0.3627	0.0883	0.0658	
8	0.1116	0.1125	1.8741	0.3167	0.0810	0.0604	
8.5	0.1002	0.1006	1.4843	0.2678	0.0725	0.0540	
11.5	0.0863	0.0868	0.8137	0.1994	0.0626	0.0466	
12	0.0934	0.0939	0.8409	0.2166	0.0677	0.0504	
12.5	0.0985	0.0992	0.8441	0.2266	0.0715	0.0532	
13	0.1000	0.1007	0.8189	0.2276	0.0725	0.0540	
13.5	0.0997	0.1003	0.7841	0.2242	0.0723	0.0538	
14	0.0989	0.0996	0.7479	0.2194	0.0717	0.0534	
14.5	0.0985	0.0989	0.7184	0.2157	0.0713	0.0531	
15	0.0990	0.0997	0.6962	0.2140	0.0718	0.0535	
